job_title,resume_index,category,experience_level,match_score,resume_preview
HR Manager,538,ADVOCATE,Senior,0.2298,         HUMAN RESOURCES MANAGER       Summary     To continue my professional Human Resource career in a position of leadership focused on creative p
HR Manager,1889,ACCOUNTANT,Senior,0.2289,         STAFF ACCOUNTANT       Professional Profile     To gain payroll skills       Qualifications          Deltek Time and Expense 8.1; Costpoint 6
HR Manager,95,HR,Senior,0.2273,         DIRECTOR OF HR           Executive Profile      Ambitious Human Resources Generalist who creates strategic alliances with organization leader
HR Manager,7,HR,Senior,0.2267,         HR MANAGER         Professional Summary    Senior HR professional with a continuous improvement approach to building and supporting organizat
Network Engineer,232,INFORMATION-TECHNOLOGY,Senior,0.2262,         INFORMATION TECHNOLOGY SPECIALIST         Professional Summary    Experienced network professional with outstanding success rate at installin
Data Scientist,1762,ENGINEERING,Senior,0.2249,         ENGINEERING AND QUALITY TECHNICIAN       Career Overview    A highly experienced skilled graduate with Analytics degree with a very good expe
Network Engineer,251,INFORMATION-TECHNOLOGY,Senior,0.2245,"         DIRECTOR OF INFORMATION TECHNOLOGY       Summary    IT Director/Manager with extensive experience in network operations, leveraging expertise"
Data Scientist,1348,AUTOMOBILE,Senior,0.2231,"        Highlights          Prog. Languages:          C (5+ yrs), Python (3+ yrs), Java (3+ yrs), MATLAB (Simulink) (5+ yrs), R (2 yrs), Processing (2"
Network Engineer,2426,AVIATION,Senior,0.2222,         TSO/FLOATER       Career Overview     To obtain a position to provide for my family after finishing my call of duty and term of service I ind
HR Manager,13,HR,Senior,0.2216,"         HR GENERALIST       Summary     A people-oriented, results-driven professional with outstanding communication skills.   Extensive experience "
Sales Executive,557,BUSINESS-DEVELOPMENT,Senior,0.2215,         BUSINESS DEVELOPMENT           Summary     Results-driven and highly skilled (business development)account manager and marketing professional
HR Manager,2227,BANKING,Senior,0.2203,"         EMPLOYEE RELATIONS CONSULTANT           Summary    Human Resources partner with areas of expertise in employee relations, Affirmative Action,"
Network Engineer,1152,CONSULTANT,Senior,0.2202,         IT CONSULTANT       Career Overview    Director of Information Technology More than two decades of sound IT leadership in areas including IT 
Sales Executive,1155,CONSULTANT,Senior,0.2184,         CONSULTANT       Summary     Friendly and enthusiastic [Job Title] with [Number] years of specialization in [Type of Restaurant]. Able to lea
HR Manager,19,HR,Senior,0.2184,         HR CONSULTING       Summary    7+ years of Experience as a HR Partner with experience in all the facets of the Human Resource Function. Exten
HR Manager,47,HR,Senior,0.2177,"         HR CONSULTANT       Summary       Subject matter expert in HR Applications, and  highly effective at incorporating creative solutions to achi"
HR Manager,39,HR,Senior,0.2148,         HR DIRECTOR           Professional Summary    Experienced HR Manager over 3 facilities with 10 years of proven HR experience in all areas of 
Java Developer,833,FITNESS,Senior,0.2137,         SERVICE REPRESENTATIVE           Summary    Secure a responsible position in account management and serve as an account representative sharin
HR Manager,17,HR,Senior,0.2103,"         HR DIRECTOR           Summary    Human Resource Professional
Confident, Resourceful Human Resources professional, with academic background in"
HR Manager,81,HR,Senior,0.2097,         FIELD HR ASSOCIATE           Summary    Reliable HR Field Associate with a Master's of science in Human Resource management emphasis as a Gen
Java Developer,1111,CONSULTANT,Senior,0.2097,"         IT CONSULTANT           Summary      Over Seven years of Software Application Development, Application Support, Testing and Implementation ex"
Sales Executive,622,BUSINESS-DEVELOPMENT,Senior,0.2083,"         DIRECTOR BUSINESS DEVELOPMENT           Summary    Specializing in sales related business, global account management and new business develop"
HR Manager,9,HR,Senior,0.208,"         HR CLERK       Summary    Translates business vision into HR initiatives that improve performance, profitability, growth, and employee engage"
Data Scientist,2153,BANKING,Senior,0.2077,"         CORPORATE BANKING ASSISTANT, INTERN           Objective     Dynamic and self-motivated Financial Data Analyst with diverse expertise in progr"
HR Manager,48,HR,Senior,0.2051,"         HR GENERALIST           Experience     04/2015   to   Current       Provide general administrative support such as preparing correspondence, "
Sales Executive,597,BUSINESS-DEVELOPMENT,Senior,0.2027,         DIRECTOR OF BUSINESS DEVELOPMENT         Summary     Self-starting business development expert with 20+ years as a top sales performer in var
HR Manager,104,HR,Senior,0.2023,         SENIOR HR MANAGER         Professional Summary    Results-driven and business-oriented professional with strong experience in business operat
HR Manager,79,HR,Senior,0.2018,         HR ASSOCIATE MOBILIZATION COORDINATOR       Summary    Professional with extensive experience in Human Resources in Oil & Gas Company.  Want 
HR Manager,51,HR,Senior,0.2017,"         HR ASSISTANT         Summary      Hard Worker, Dedicated, Detailed Oriented, Experienced, Organized, and Highly Motivated.  These are just so"
Sales Executive,658,BUSINESS-DEVELOPMENT,Senior,0.2012,         BUSINESS DEVELOPMENT DIRECTOR           Experience      BUSINESS DEVELOPMENT DIRECTOR    January 2010   to   Current     Company Name   －   C
HR Manager,89,HR,Senior,0.2009,         SR. HR CONSULTANT         Executive Profile      Ambitious Human Resources professional who creates strategic alliances with organization lea
Data Scientist,2291,ARTS,Senior,0.1991,"         ONLINE LEARNING COORDINATOR - PROGRAM TRAINING AND SUPPORT           Summary    To
effectively and innovatively influence student and staff k"
Data Scientist,194,DESIGNER,Senior,0.1986,           PROGRAM MANAGER & DESIGNER         Professional Summary     A talented program designer and learning specialist with experience developing 
HR Manager,1246,DIGITAL-MEDIA,Senior,0.1977,         SR. LEAVE OF ADMINISTRATIVE SPECIALIST       Professional Summary    HR Coordinator who brings  10  years developing efficient payroll and be
HR Manager,70,HR,Senior,0.1973,"         HR COORDINATOR         Summary     From
my first job as a retail salesperson, I had a passion for leadership and the development of others.  "
Java Developer,132,DESIGNER,Senior,0.1963,         WEB DESIGNER         Professional Summary     Trained Quality Assurance Specialist with a demonstrated history of working in the pharmaceutic
Network Engineer,1190,CONSULTANT,Senior,0.196,"         IT CONSULTANT           Professional Summary    Self-motivated, detail oriented Senior Computer/Network Technician with 20 years experience i"
Network Engineer,1234,DIGITAL-MEDIA,Senior,0.1948,"         SPRINT ISP MANAGEMENT TO THE VENDOR             Qualifications          Windows 95-XP-Windows 7/8.8,1/10  Windows NT/2000/2003/2008/2012  Red"
HR Manager,1110,CONSULTANT,Senior,0.1945,         CONSULTANT       Summary      Human Resource Professional  highly effective at incorporating creative leadership skills to achieve business o
HR Manager,22,HR,Senior,0.1882,         HR SPECIALIST       Summary    An Human Resources Specialist  with over  9  years in recruitment and federal employment processes.  An energe
Data Scientist,1339,AUTOMOBILE,Senior,0.1881,"         DATA ANALYST       Professional Summary    Industrial and Systems Engineering graduate, certified Base SAS Programmer and a Lean Six Sigma Gr"
HR Manager,686,HEALTHCARE,Senior,0.1871,"       HEALTHCARE RECRUITER       Professional Summary         A highly ambitious, customer service oriented business professional, with experience in"
HR Manager,977,BPO,Senior,0.1844,"         SENIOR MANAGER           Skill Highlights          Windows / Mac OS, MS office suite, HRMS oracle applications  Training Attended  Year  Titl"
HR Manager,67,HR,Senior,0.1839,"         HR MANAGER       Summary     Human Resources professional with the ability to work successfully with all levels of an organization, deliver e"
Java Developer,926,AGRICULTURE,Senior,0.1822,"           SOFTWARE DEVELOPER         Professional Summary    Enthusiastic computer engineer eager to contribute to team success through hard work, at"
HR Manager,87,HR,Senior,0.1822,"         RECRUITING AND HR MANAGER       Summary     Experienced Corporate Recruiter who is self-motivated, results driven, highly responsive and able"
Network Engineer,1153,CONSULTANT,Senior,0.1815,         IT CONSULTANT       Professional Summary    Support Engineer with Public Trust Clearance and 10 years of Information Technology experience in
Sales Executive,674,BUSINESS-DEVELOPMENT,Senior,0.1807,"         BUSINESS DEVELOPMENT MANAGER       Summary     Extensive and diverse sales, business development, and management background. Creative profess"
Java Developer,2199,BANKING,Senior,0.1803,"         MANAGER           Experience      Manager  ,   11/2013   to   Current     Company Name   –   City  ,   State      Manage a large global team "
Sales Executive,2473,AVIATION,Senior,0.1802,         ACCOUNT EXECUTIVE         Professional Summary       Account Executive    Accomplished sales-management professional with 5+ years of solid a
Network Engineer,259,INFORMATION-TECHNOLOGY,Senior,0.1802,         INFORMATION TECHNOLOGY SPECIALIST           Professional Summary     To secure a position as an Information Technology in a challenging and c
HR Manager,34,HR,Senior,0.1796,         HR COORDINATOR           Summary    To obtain a challenging career in the human resource field where I can utilize my capabilities and experi
HR Manager,77,HR,Senior,0.1783,"         HR BUSINESS PARTNER       Summary     Proactive Human Resources Business Partner guiding performance management, talent planning and benefits"
HR Manager,53,HR,Senior,0.178,         HR REPRESENTATIVE       Summary    A motivated business partner who communicates and collaborates effectively with all levels of personnel by
Network Engineer,1176,CONSULTANT,Senior,0.1778,         CONSULTANT       Career Overview    A highly motivated techno-functional and business savvy professional desire to obtain a position as IT Ma
Java Developer,2102,PUBLIC-RELATIONS,Senior,0.1777,         COMMUNICATIONS COORDINATOR       Summary     Creative and highly-motivated Communications and Marketing professional with experience creating
Java Developer,1747,ENGINEERING,Senior,0.1742,"         SOFTWARE ENGINEERING MANAGER           Professional Profile    20+ years of software product development experience in broadcast media, video"
HR Manager,0,HR,Senior,0.1728,"         HR ADMINISTRATOR/MARKETING ASSOCIATE

HR ADMINISTRATOR       Summary     Dedicated Customer Service Manager with 15+ years of experience in H"
Java Developer,1707,ENGINEERING,Senior,0.1703,"         ENGINEERING MANAGER           Summary    To design, develop and manage products in the field of consumer electronics devices, networking prot"
HR Manager,30,HR,Senior,0.1701,         HR ASSISTANT             Highlights          Interviewing expertise  Employee Relations  Manager Coaching and training  Event management  Emp
HR Manager,73,HR,Senior,0.1697,         HR ASSISTANT III       Certifications     John A. Logan College 2003 - 2005 *   University of Alabama at Birmingham 2006 -*       Professiona
HR Manager,54,HR,Senior,0.1692,"         HR SPECIALIST       Summary    Results-driven professional with comprehensive experience in human resources, customer service, and financial "
Sales Executive,522,ADVOCATE,Senior,0.1685,"         MANAGER, DIGITAL MARKETING AND COMMUNICATIONS       Objective    Obtain the Health Analytic Consultant position at UnitedHealthcare to furthe"
HR Manager,1864,ACCOUNTANT,Senior,0.1683,         STAFF ACCOUNTANT       Summary     Skilled Accountant successful at managing multiple projects and consistently meeting deadlines under press
Network Engineer,300,INFORMATION-TECHNOLOGY,Senior,0.1675,         INFORMATION TECHNOLOGY MANAGER / NETWORK ENGINEER       Professional Overview     A highly skilled and accomplished Information Technology Ma
Sales Executive,652,BUSINESS-DEVELOPMENT,Senior,0.1665,"         BUSINESS DEVELOPMENT MANAGER       Summary    Energetic, motivated and organized sales representative with results in the oil and gas industr"
HR Manager,100,HR,Senior,0.1659,         HR BENEFITS/LEAVE COORDINATOR       Summary    13 years of Human Resources experience and 27 years of administrative experience working in va
HR Manager,92,HR,Senior,0.1655,         GLOBAL HR MANAGER           Summary     A Global HR Professional with 10+ years' progressive experience across industries and geographies. A 
Sales Executive,1024,SALES,Senior,0.1652,         SALES SUPERVISOR - SALES EFFECTIVENESS       Summary     Experienced sales supervisor and recognized training facilitator with over 25 years 
Sales Executive,1011,SALES,Senior,0.1644,"         SALES           Executive Summary    Twenty years of experience in all aspects of sales/marketing management Focused, goal and profit-oriente"
Sales Executive,427,TEACHER,Senior,0.1635,"         SUBSTITUTE TEACHER       Summary     Receiving an education on Psychology and pursuing my teaching certification,ha been the best professiona"
Java Developer,1938,CONSTRUCTION,Senior,0.1625,         CONSTRUCTION MANAGER           Summary      Energetic Construction Manager consistently involved in all facets of the project. Extremely know
Sales Executive,2229,BANKING,Senior,0.1624,         MARKETING & SALES ANALYST         Summary      A result oriented Marketing & Sales Analyst with 10 years of industry experience in the Staffi
HR Manager,1583,FINANCE,Senior,0.1617,         HUMAN RESOURCE/ FINANCE ANALYST           Summary    Human Resource Professional:  Seeking a challenging position that will allow me to grow 
Java Developer,243,INFORMATION-TECHNOLOGY,Senior,0.1616,"         DIRECTOR OF INFORMATION TECHNOLOGY       Profile    SUMMAR Y
Applying technology and workflow solutions to business challenges is exciting fo"
Network Engineer,244,INFORMATION-TECHNOLOGY,Senior,0.1613,"         VICE PRESIDENT, INFORMATION TECHNOLOGY           Executive Profile     Performance-driven IT executive experienced in building technology org"
Java Developer,1127,CONSULTANT,Senior,0.1612,"         CONSULTANT           Summary     Master's degree in Computer Science with twenty-five years of experience designing, implementing, and mainta"
Java Developer,1742,ENGINEERING,Mid,0.1612,"         SOFTWARE ENGINEERING MANAGER           Summary    Multifaceted technical career with 15+ years' track record of innovation and success.
Accom"
Network Engineer,1767,ENGINEERING,Senior,0.1609,"         ENGINEERING SYSTEMS
INSTALLER           Summary    Seasoned Information Technology professional with over 7 plus years of experience working "
HR Manager,101,HR,Senior,0.1603,"         REGIONAL HR BUSINESS PARTNER       Human Resources Professional      Executive Profile    Business-savvy, results-driven, and solutions-orien"
HR Manager,733,HEALTHCARE,Senior,0.16,"         RECRUITER, TAX EXEMPT MARKETS         Professional Summary    Experienced recruitment professional driven by a passion for uncovering top tal"
Sales Executive,608,BUSINESS-DEVELOPMENT,Senior,0.1599,         BUSINESS DEVELOPMENT DIRECTOR       Summary     Business Development Director driven to exceed sales goals and build long-term relationships 
Data Scientist,929,AGRICULTURE,Senior,0.1598,"         VP, PRINCIPAL       Summary     I am highly skilled,growth mindset IT professional having more than 20 years experience mostly in financial i"
HR Manager,69,HR,Senior,0.1591,         HR PROFESSIONAL       Summary     Dependable Self-motivated and assertive Human Resources Professional with innovative solutions and personal
HR Manager,723,HEALTHCARE,Senior,0.1589,         CORPORATE REGIONAL  RECRUITER       Summary     Highly driven Recruiter who maintains a positive attitude under pressure and welcomes the cha
HR Manager,1917,ACCOUNTANT,Senior,0.1576,"         STAFF ACCOUNTANT           Skills        Income Statement, Balance Sheet, Budget expense vs. Actual Expense, when necessary prepare Income St"
Data Scientist,1040,SALES,Senior,0.1574,"         SALES COORDINATOR       Summary    Current MS of Data Analytics graduate student with exposure to data analysis and modeling
          skills"
Network Engineer,1114,CONSULTANT,Senior,0.1569,"         CONSULTANT         Summary     
PC Technician, Security Analyst, and Security Services - Identity Management
 


  Solutions-oriented
 with n"
HR Manager,1648,APPAREL,Senior,0.1561,         RESERVATIONS AGENT/FRONT DESK AGENT/GUEST SERVICES AGENT/PBX OPERATOR           Summary    Highly motivated and effective Sales Representativ
Network Engineer,774,HEALTHCARE,Senior,0.1554,         SR. PROJECT MANAGER       Profile     Information Technology Professional with a diverse background and 10+ years of progressive experience a
Java Developer,844,FITNESS,Senior,0.1554,         MECHANICAL DESIGN ENGINEER INTERN       Summary    Over 2 years of combined professional and educational experience in 3D Modelling and Produ
HR Manager,45,HR,Senior,0.1552,"         HR COORDINATOR           Summary     Motivated professional seeking a career in outsides sales.  Self-starting, driven, persuasive, and posit"
HR Manager,58,HR,Senior,0.1545,         HR CONSULTANT           Summary     Certified Human Resources Professional with 15 years background in full range of HR functions with extens
Data Scientist,1798,ENGINEERING,Senior,0.1542,"         SENIOR ENGINEERING MANAGER       Summary     Personable, patient and adaptable Math tutor with 3 years of experience tutoring K-12 and colleg"
Java Developer,1783,ENGINEERING,Senior,0.1529,"         SOFTWARE ENGINEERING MANAGER       Summary    Experienced software engineer, and hands-on engineering manager with 20+ years of product devel"
Java Developer,1932,CONSTRUCTION,Senior,0.1527,         CONSTRUCTION WORKER       Objective      WEB DEVELOPER    Recent graduate and highly motivated 15 year veteran of the construction industry l
HR Manager,35,HR,Senior,0.1524,         HR MANAGER         Summary     Human Resources Professional with practical understanding of business needs. Areas of expertise include confli
Sales Executive,2450,AVIATION,Senior,0.152,         PASSENGER SERVICES OFFICER       Professional Summary        A hard working and self-motivated Australian professional willing to learn and d
Network Engineer,264,INFORMATION-TECHNOLOGY,Senior,0.1518,         INFORMATION TECHNOLOGY SPECIALIST       Summary      Information Security Analyst/Systems professional with over 16 years of diverse experien
Network Engineer,329,INFORMATION-TECHNOLOGY,Senior,0.1516,         SENIOR VICE-PRESIDENT AND CHIEF INFORMATION OFFICER             Core Accomplishments    Strategized with various areas of business to develop
HR Manager,512,ADVOCATE,Senior,0.1515,         MARKET CONSULTANT - HEALTHCARE ADVOCATE           Professional Summary    Ambitious and dedicated managed care professional with robust organ
Java Developer,229,INFORMATION-TECHNOLOGY,Senior,0.1512,         INFORMATION TECHNOLOGY MANAGER             Qualifications          Strong communication skills	Web application design  Working independently	
HR Manager,49,HR,Senior,0.1508,         HR INTERN       Summary     Highly driven Recruiter who maintains a positive attitude under pressure and welcomes the challenge and responsib
HR Manager,11,HR,Senior,0.1503,         HR MANAGER         Summary      Human Resources Manager with practical understanding of business needs. Areas of expertise include conflict m
Data Scientist,1218,CONSULTANT,Senior,0.1495,       Pavithra  Shetty           Summary     Customer-oriented Principal Consultant knowledgeable about developing and implementing successful busine
HR Manager,6,HR,Senior,0.1494,"         HR MANAGER       Summary    HUMAN RESOURCES MANAGER Extensive background in administrative duties, including experience in implementing staff"
Data Scientist,374,TEACHER,Senior,0.1473,         TEACHER       Summary    An elementary-school teacher with many years of success in teaching classes and developing children's learning abili
Java Developer,280,INFORMATION-TECHNOLOGY,Senior,0.1469,         INFORMATION TECHNOLOGY COORDINATOR       Professional Profile    B.S. graduate with a record of success implementing IT solutions. Demonstrat
Sales Executive,592,BUSINESS-DEVELOPMENT,Senior,0.1464,"         BUSINESS DEVELOPMENT MANAGER             Skill Highlights        Microsoft Office Suite, Outlook
*Salesforce.com CRM (Customer Relationship M"
Data Scientist,331,INFORMATION-TECHNOLOGY,Senior,0.1457,"         MASTER DATA MANAGER           Experience      Master Data Manager  ,     01/2019   to   Current     Company Name   –   City  ,   State      A"
Java Developer,1218,CONSULTANT,Senior,0.1453,       Pavithra  Shetty           Summary     Customer-oriented Principal Consultant knowledgeable about developing and implementing successful busine
HR Manager,33,HR,Senior,0.1453,"         HR CONSULTANT       Summary     Detail-oriented 25 years human resources professional who excels under tight deadlines, while anticipating an"
HR Manager,591,BUSINESS-DEVELOPMENT,Senior,0.1449,         BUSINESS DEVELOPMENT SPECIALIST       Summary    Retirement Benefits Specialist with over 10 years experience administering benefits for larg
Java Developer,1785,ENGINEERING,Senior,0.1447,         CORPORATE PROCESS/SYSTEMS ENGINEERING MANAGER           Executive Summary     High-energy Engineering Manager driven to cut company costs and
Network Engineer,1546,FINANCE,Senior,0.1447,         FINANCE MANAGER/ OPERATIONS MANAGER           Career Overview     To obtain a full time position in Management Information Systems with empha
HR Manager,71,HR,Senior,0.1442,"         HR GENERALIST           Summary     HR Generalist with 8 yrs of professional experience in employee  recruitment, orientation, engagement ,as"
Sales Executive,510,ADVOCATE,Senior,0.1441,         PATIENT ADVOCATE /CLINICAL CARE COORDINATOR           Career Focus    Selling capital equipment computer hardware and software to corporate a
Java Developer,1744,ENGINEERING,Senior,0.1435,"         SOFTWARE ENGINEERING MANAGER       Summary    Experienced software engineer, and hands-on engineering manager with 20+ years of product devel"
Java Developer,1745,ENGINEERING,Senior,0.1433,"         SOFTWARE ENGINEERING MANAGER       Summary    Experienced software engineer, and hands-on engineering manager with 20+ years of product devel"
HR Manager,1197,CONSULTANT,Senior,0.1431,         CONSULTANT       Career Focus     Business Professional acutely focused on customer service and network building. Promptly develops vital rel
HR Manager,38,HR,Senior,0.1429,         HR SPECIALIST           Summary     Energetic Administrative Assistant with 30+ years experience in high-level executive support roles. Organ
Data Scientist,436,TEACHER,Senior,0.1426,"         CLASSROOM TEACHER           Summary    Experienced education professional, with a background in instructional design, seeking opportunities t"
Java Developer,1746,ENGINEERING,Senior,0.1422,         SOFTWARE ENGINEERING MANAGER           Summary     Human Resources professional with practical understanding of business needs and extensive 
Java Developer,1179,CONSULTANT,Mid,0.1419,"         CONSULTANT       Summary    In-depth knowledge and understanding of numerous software packages and operating systems.
     Skilled in Databas"
Network Engineer,225,INFORMATION-TECHNOLOGY,Senior,0.1417,"         INFORMATION TECHNOLOGY PROVISIONING TECHNICIAN         Career Overview    Process driven, goal oriented, Information Security Leader with 5  "
Java Developer,2184,BANKING,Senior,0.1416,"         SOFTWARE ENGINEER             Qualifications        C# 3.0, PL/SQL, JavaScript, HTML 4, CSS 2  Framework: .NET 3.5  Database: SQL Server 2008"
HR Manager,108,HR,Senior,0.1415,         HR SPECIALIST/ HORIZONTAL ENGINEER         Professional Summary     Passionate HR Specialist with over 10 years' extensive experience in comp
Sales Executive,641,BUSINESS-DEVELOPMENT,Senior,0.1411,"         BUSINESS DEVELOPMENT EXECUTIVE       Professional Summary    Highly motivated and intelligent professional utilizing highly refined sales, ma"
